date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-07,Suez Canal,chokepoint1,2019,1,7,9,14,6,2,16,31,47,434155,711501,33826,5124,894303,1184608,2078911
2019-01-07,Sunda Strait,chokepoint19,2019,1,7,1,10,3,2,7,16,23,33580,333417,4928,946,78609,372872,451482
2019-01-07,Taiwan Strait,chokepoint11,2019,1,7,86,65,27,7,74,185,259,1687247,2211597,102152,10878,943728,4011877,4955605
2019-01-07,Torres Strait,chokepoint18,2019,1,7,3,2,3,,2,8,10,99011,55008,38624,,92253,192644,284897
2019-01-07,Tsugaru Strait,chokepoint13,2019,1,7,10,26,9,,14,45,59,249030,1132650,39232,,130602,1420913,1551516
2019-01-07,Windward Passage,chokepoint23,2019,1,7,7,1,3,1,3,12,15,134373,81555,4720,4396,13153,225046,238199
2019-01-07,Yucatan Channel,chokepoint22,2019,1,7,11,11,3,1,22,26,48,119624,392546,24848,8414,540817,545433,1086250
2019-01-08,Bab el-Mandeb Strait,chokepoint4,2019,1,8,15,13,4,2,16,34,50,931901,485490,33966,10121,484817,1461479,1946296
2019-01-08,Balabac Strait,chokepoint25,2019,1,8,2,6,,,1,8,9,20317,430724,,,139564,451041,590606
2019-01-08,Bering Strait,chokepoint26,2019,1,8,,2,1,,1,3,4,,55776,5570,,31714,61346,93061
2019-01-08,Bohai Strait,chokepoint17,2019,1,8,16,50,12,3,20,81,101,263361,1882803,38829,4605,284780,2189600,2474381
2019-01-08,Bosporus Strait,chokepoint3,2019,1,8,5,20,46,,27,71,98,13053,477325,77620,,423957,568000,991957
2019-01-08,Cape of Good Hope,chokepoint7,2019,1,8,3,19,3,,10,25,35,70243,885405,4605,,444325,960254,1404580
2019-01-08,Dover Strait,chokepoint9,2019,1,8,32,22,37,8,40,99,139,760074,736122,103367,12824,819093,1612389,2431482
2019-01-08,Gibraltar Strait,chokepoint8,2019,1,8,27,15,15,2,19,59,78,644612,693132,51940,,613037,1389685,2002723
2019-01-08,Kerch Strait,chokepoint28,2019,1,8,,,28,,13,28,41,,,30015,,21784,30015,51799
2019-01-08,Korea Strait,chokepoint12,2019,1,8,55,28,59,10,74,152,226,758714,643347,179068,16580,924539,1597711,2522250
2019-01-08,Lombok Strait,chokepoint15,2019,1,8,,24,1,2,10,27,37,,1644928,1701,4129,228287,1650759,1879047
2019-01-08,Luzon Strait,chokepoint14,2019,1,8,9,29,1,4,24,43,67,202849,2303793,7806,8491,1449034,2522940,3971974
